cus_id,cus_num,cus_last_name,cus_first_name,cus_add_num,cus_address,cus_city,state_id,cus_zip,cus_phone,cus_join_date,cus_app_cd,cus_app_num
2600,,Holzer,Yeni,8617,High Noon Street,Hattiesburg,17,39401,7833472627,2020-11-22,5,OPC85554622
2601,,Hull,Tancredo,7673,Cedat Camp Road,Oswego,19,13126,5154255063,2020-04-19,9,OPC86688258
2602,,Sokol,Teodor,965,Southampton,Salt Lake City,26,84119,8802052764,2020-04-15,14,OPC87710870
2603,,Barnes,Theo,270,High Noon Ave,Coram,19,11727,2779494240,2020-09-14,18,OPC78993136
2604,,Tempest,Simone,751,East Shadow Brook Dr.,Pataskala,20,43062,7692163675,2020-06-24,11,OPC86812641
2605,,Bullock,Pankaj,7524,Van Dyke St.,Southampton,22,18966,2812450867,2020-03-20,3,OPC85939415
2606,,Ware,Reina,656,Grand Ave,Los Angeles,4,90008,3902290668,2020-09-21,6,OPC86472716
2607,,Ray,Rosalin,8564,Old Woodland Rd,Cranston,23,2920,7944432375,2020-06-06,9,OPC87091916
2608,,Stark,Herb,7291,Race St.,Ithaca,19,14850,2978433949,2020-06-27,5,OPC87321099
2609,,Bohme,Bohuslav,135,Homewood Ln,Merrimack,19,3054,3147113467,2020-12-12,19,OPC86853764
2610,,Atkins,Wilkie,165,Prince Ave,Astoria,19,11102,1600567229,2020-03-23,5,OPC79178355
2611,,Ranutt,Judd,480,Armstrong Ln,Dublin,9,31021,8205828416,2020-04-11,23,OPC79875966
2612,,Smith,Franklin,530,Piper St.,Kings Mountain,18,28086,8691226454,2020-09-05,12,OPC78904260
2613,,Biermann,Ingomar,43,Market Ln,Redford,16,48239,4146615854,2020-03-27,17,OPC78681073
2614,,Floro,Black,59,King Drive,Bayonne,19,3690,8546184687,2020-06-08,5,OPC86355079
2615,,Okafor,Bendict,7303,South North St,Attleboro,15,2703,6828877281,2020-03-31,23,OPC79974777
2616,,Chandrakat,Masters,26,W. Thatcher Str,Beloit,28,53511,9322879177,2020-08-21,15,OPC79510398
2617,,Mathiasen,Ulrich,155,Foxrun,Loganville,9,30052,2948717959,2020-01-27,18,OPC86449613
2618,,Kemp,Susanne,11,Bayberry Ave,Desoto,25,75115,3610709919,2020-12-11,23,OPC84769548
2619,,Daniel,Ellie,3,Rock Creek St.,Murfreesboro,25,37128,3724235583,2020-06-16,9,OPC79690794
7,App18353,Applewood,Carl,88779,Wishing Manor, Fulmor,27,73388,7796078471,2009-08-08,4,OPC80971998
8,Jon22704,Jones,Taylor,51751, Stony Wharf, East Village,20,3332,5800368676,2016-09-24,6,OPC81323185
9,Smi37678,Smith,Brandt,52939,Indian Trail, Brownsburg,17,26647,2020756373,2019-05-03,7,OPC78694231
10,Rob61606,Roberts,Sarah,59743,Heather Wynd, Youngstown,19,51176,7163572944,2019-06-14,5,OPC85895249
11,Smi48302,Smith,Adam,97246, Tawny Lane, Cowan,22,68288,1066961945,2019-10-04,2,OPC82942007
12,Jim17063,Jiminez,Maggs,42767,Adams, Cowan,6,39272,6504718449,2005-11-12,4,OPC83134935
13,Sla75472,Slain,Lee,22292,Sunny Glade, Langley,24,90069,6470804425,2014-07-02,4,OPC85258555
14,Wil88232,Williamson,Jonathon,94602, Jagged Horse Extension, Oak Knoll,14,50952,4474900739,2014-01-22,3,OPC79279010
15,She88460,Sherman,Miguel,60636,Rimer, Crystal Lake,14,11969,6547249144,2007-01-04,6,OPC83825206
16,Man45871,Manning,Harper,8035,Honey Creek Autoroute, Longview Heights,15,14099,5848059748,2003-06-08,7,OPC81369441
17,She52197,Shelton,Joshua,6225, Indian Anchor Link, Kwikpak,1,11112,8390807875,2011-06-07,7,OPC85022888
18,Bro84611,Brooks,Lee,28968,Sycamore, Mcarthur Estates,21,13261,4985413130,2007-06-17,6,OPC78403840
19,Bar54604,Barrister,Brandt,68698,Madison, Meadowbrook Valley,27,54575,7571653220,2010-07-04,3,OPC80961543
20,Pet61356,Peters,Maggs,98353,Amber Dale Diversion, Holiday Park,6,44923,1925226771,2005-05-15,6,OPC81722657
21,Jon39709,Jones,Piper,75162,Rustic Grove Orchard, Laffertys Trailer Court,28,8544,1992380878,2019-02-18,1,OPC84672307
22,Rid36041,Ridgley,Brian,25138,Crystal Cove, North Star,23,70033,5593513806,2011-05-18,7,OPC80292420
23,Sei48735,Seiler,Mike,64092,Honey Creek Autoroute, Norton Shores,1,78116,476557784,2009-07-15,2,OPC87837465
24,Smi73882,Smith,Erin,29529,Hazy Road, Holiday Park,19,36253,4748917378,2016-02-10,7,OPC84315601
